Frequency (Hz),Magnitude
43.0,0.065969
43.0,0.206004
43.0,0.156575
43.0,0.356269
43.0,0.090379
43.0,0.056396
43.0,0.046164
43.0,0.209791
44.0,0.41927
44.0,0.408177
44.0,0.418382
44.0,0.250345
44.0,0.169586
44.0,0.330501
44.0,0.205211
44.0,0.183414
45.0,0.073223
45.0,0.167671
45.0,0.330059
45.0,0.191686
45.0,0.111898
45.0,0.362635
45.0,0.243211
45.0,0.432552
46.0,0.273165
46.0,0.143178
46.0,0.131057
46.0,0.190281
46.0,0.115119
46.0,0.036894
46.0,0.088249
46.0,0.222945
46.0,0.188223
47.0,0.213666
47.0,0.308333
47.0,0.255078
47.0,0.220808
47.0,0.151199
47.0,0.27896
47.0,0.158454
47.0,0.057622
48.0,0.235416
48.0,0.158167
48.0,0.073642
48.0,0.155696
48.0,0.285547
48.0,0.188539
48.0,0.14139
48.0,0.368696
49.0,0.130501
49.0,0.038389
49.0,0.017929
49.0,0.167772
49.0,0.203118
49.0,0.365346
49.0,0.243301
49.0,0.071593
50.0,0.15631
50.0,0.198927
50.0,0.053505
50.0,0.13782
50.0,0.096476
50.0,0.15975
50.0,0.167106
50.0,0.0991
51.0,0.13813
51.0,0.118913
51.0,0.171493
51.0,0.065323
51.0,0.109712
51.0,0.15841
51.0,0.09617
51.0,0.123739
52.0,0.183891
52.0,0.155294
52.0,0.100688
52.0,0.078983
52.0,0.177982
52.0,0.120551
52.0,0.216472
52.0,0.171372
52.0,0.029556
53.0,0.165028
53.0,0.244533
53.0,0.088335
53.0,0.129764
53.0,0.070383
53.0,0.229337
53.0,0.212531
53.0,0.085427
54.0,0.048121
54.0,0.149081
54.0,0.197117
54.0,0.136536
54.0,0.099574
54.0,0.07007
54.0,0.160435
54.0,0.080494
55.0,0.186633
55.0,0.083554
55.0,0.021581
55.0,0.006422
55.0,0.171667
55.0,0.041731
55.0,0.148353
55.0,0.003278
56.0,0.086054
56.0,0.207255
56.0,0.191372
56.0,0.192641
56.0,0.116584
56.0,0.184928
56.0,0.027911
56.0,0.07251
57.0,0.098932
57.0,0.122803
57.0,0.187732
57.0,0.131214
57.0,0.072719
57.0,0.107237
57.0,0.164251
57.0,0.17778
57.0,0.315978
58.0,0.139233
58.0,0.256324
58.0,0.134532
58.0,0.151602
58.0,0.035528
58.0,0.15089
58.0,0.176921
58.0,0.100477
59.0,0.023701
59.0,0.063489
59.0,0.181322
59.0,0.027374
59.0,0.276847
59.0,0.2428
59.0,0.15016
59.0,0.078371
60.0,0.33992
60.0,0.309328
60.0,0.155377
60.0,0.063536
60.0,0.130001
60.0,0.110934
60.0,0.098894
60.0,0.106634
61.0,0.115866
61.0,0.03043
61.0,0.056136
61.0,0.115303
61.0,0.090129
61.0,0.128534
61.0,0.069393
61.0,0.103266
62.0,0.186145
62.0,0.133773
62.0,0.066844
62.0,0.173932
0.0,752.56543
0.0,362.454132
0.0,479.007843
0.0,477.752411
0.0,476.482819
0.0,480.075195
0.0,477.155304
0.0,479.59137
0.0,474.762817
1.0,480.560211
1.0,478.59375
1.0,477.4729
1.0,484.113464
1.0,464.689728
1.0,483.298279
1.0,482.622253
1.0,473.904694
2.0,474.506012
2.0,483.047729
2.0,475.080933
2.0,488.09552
2.0,465.232117
2.0,484.125763
